# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.01), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.1748305; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41816967 0.68521818 0.33105718 ... 0.46982336 0.515545   0.6782428 ]; bacc: 0.5000; average_auc:0.4582
[train] u: 0009300; loss: 0.0516890; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38170167 0.69269983 0.33119325 ... 0.47297016 0.5152853  0.67574453]; bacc: 0.5001; average_auc:0.4810
[train] u: 0009400; loss: 0.0548544; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37765655 0.69058814 0.4328781  ... 0.47112958 0.5152111  0.67517562]; bacc: 0.5002; average_auc:0.4796
[train] u: 0009500; loss: 0.0542273; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39102897 0.69236163 0.34289567 ... 0.47543417 0.5152111  0.67564559]; bacc: 0.5001; average_auc:0.4791
[validation] u: 0009500; loss: 0.0557569; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.42797784 0.97160665 0.75666782 ... 0.61080332 0.52146814 0.26142659]; bacc: 0.5000; validation_auc:0.4733
[train] u: 0009600; loss: 0.0517987; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38402731 0.68976326 0.33132933 ... 0.47285142 0.5152482  0.67549718]; bacc: 0.5004; average_auc:0.4813
[train] u: 0009700; loss: 0.0539325; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40269428 0.56005114 0.34658205 ... 0.47628024 0.5152482  0.67542297]; bacc: 0.5001; average_auc:0.4814
[train] u: 0009800; loss: 0.0523111; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37906678 0.69401138 0.47377471 ... 0.47825442 0.5153966  0.67544771]; bacc: 0.5001; average_auc:0.4787
[train] u: 0009900; loss: 0.0538075; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42283332 0.58598944 0.33458275 ... 0.47262877 0.5152482  0.67552192]; bacc: 0.5001; average_auc:0.4800
[train] u: 0010000; loss: 0.0524581; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4034365  0.69847398 0.34076796 ... 0.47251002 0.5152853  0.6753735 ]; bacc: 0.5002; average_auc:0.4814
[validation] u: 0010000; loss: 0.0540627; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.5550554  0.97160665 0.71562175 ... 0.51177285 0.51315789 0.26177285]; bacc: 0.5001; validation_auc:0.4748
[train] u: 0010100; loss: 0.0526800; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42343947 0.69331849 0.35082511 ... 0.46845777 0.5151369  0.67547244]; bacc: 0.5002; average_auc:0.4790
[train] u: 0010200; loss: 0.0543779; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35821025 0.69677473 0.33161384 ... 0.49424076 0.47280552 0.66209063]; bacc: 0.5001; average_auc:0.4801
[train] u: 0010300; loss: 0.0513349; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37243623 0.69714592 0.34858606 ... 0.47602791 0.5151369  0.67549718]; bacc: 0.5002; average_auc:0.4801
[train] u: 0010400; loss: 0.0532596; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37186719 0.6955869  0.33516416 ... 0.46793825 0.5150256  0.67532403]; bacc: 0.5002; average_auc:0.4790
[train] u: 0010500; loss: 0.0541450; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38865385 0.68460777 0.33194785 ... 0.47239127 0.5149514  0.67517562]; bacc: 0.5001; average_auc:0.4783
[validation] u: 0010500; loss: 0.0553306; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.52250693 0.97160665 0.75545549 ... 0.50900277 0.50415512 0.26211911]; bacc: 0.5000; validation_auc:0.4743
[train] u: 0010600; loss: 0.0522442; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40566318 0.6830405  0.34507286 ... 0.47598338 0.5153966  0.67517562]; bacc: 0.5001; average_auc:0.4791
[train] u: 0010700; loss: 0.0496675; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40069027 0.65035882 0.33150251 ... 0.46914057 0.5152853  0.67490353]; bacc: 0.5001; average_auc:0.4779
[train] u: 0010800; loss: 0.0516114; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42175709 0.61838654 0.34607487 ... 0.4998961  0.515174   0.674953  ]; bacc: 0.5001; average_auc:0.4775
[train] u: 0010900; loss: 0.0508765; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4006779  0.60048668 0.43823449 ... 0.47635446 0.5152482  0.67418621]; bacc: 0.5001; average_auc:0.4772
[train] u: 0011000; loss: 0.0500285; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40426532 0.61369298 0.44975135 ... 0.47204987 0.5154337  0.67440883]; bacc: 0.5001; average_auc:0.4790
[validation] u: 0011000; loss: 0.0515985; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.52770083 0.97160665 0.53255975 ... 0.64092798 0.50554017 0.26142659]; bacc: 0.5001; validation_auc:0.4781
[train] u: 0011100; loss: 0.0537585; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39717707 0.69199043 0.33162622 ... 0.46719608 0.5153966  0.67430988]; bacc: 0.5002; average_auc:0.4790
[train] u: 0011200; loss: 0.0490713; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38667458 0.68111029 0.33577031 ... 0.47721538 0.5153224  0.67438409]; bacc: 0.5001; average_auc:0.4800
[train] u: 0011300; loss: 0.0541501; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39752344 0.6911903  0.34883347 ... 0.51021226 0.47584774 0.67458197]; bacc: 0.5001; average_auc:0.4777
[train] u: 0011400; loss: 0.0523908; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39778322 0.68536666 0.33196022 ... 0.46511801 0.5150998  0.67423568]; bacc: 0.5000; average_auc:0.4786
[train] u: 0011500; loss: 0.0494537; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38674881 0.68632352 0.33257874 ... 0.47596853 0.5151369  0.67416147]; bacc: 0.5001; average_auc:0.4803
[validation] u: 0011500; loss: 0.0512064; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.40027701 0.97160665 0.64565293 ... 0.64993075 0.57652355 0.26142659]; bacc: 0.5001; validation_auc:0.4763
[train] u: 0011600; loss: 0.0548343; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38558599 0.68756083 0.33364259 ... 0.47378655 0.5152853  0.67455724]; bacc: 0.5001; average_auc:0.4799
[train] u: 0011700; loss: 0.0551991; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38632821 0.66245979 0.33147777 ... 0.47210925 0.5154708  0.63601959]; bacc: 0.5001; average_auc:0.4802
[train] u: 0011800; loss: 0.0502330; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4056137  0.69568176 0.33802172 ... 0.47153035 0.5156192  0.67455724]; bacc: 0.5002; average_auc:0.4796
[train] u: 0011900; loss: 0.0520430; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46189911 0.68873216 0.33156436 ... 0.46507347 0.5152482  0.66602355]; bacc: 0.5002; average_auc:0.4820
[train] u: 0012000; loss: 0.0540174; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40326332 0.68464077 0.37368564 ... 0.47562713 0.5152482  0.67465618]; bacc: 0.5001; average_auc:0.4778
[validation] u: 0012000; loss: 0.0558138; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.50450139 0.97160665 0.56217527 ... 0.66620499 0.70117729 0.26108033]; bacc: 0.5001; validation_auc:0.4748
[train] u: 0012100; loss: 0.0625374; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39537099 0.69811928 0.3320097  ... 0.47644352 0.51595311 0.67460671]; bacc: 0.5001; average_auc:0.4799
[train] u: 0012200; loss: 0.0521214; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4106732  0.69677473 0.33235607 ... 0.46784919 0.5155821  0.67450777]; bacc: 0.5001; average_auc:0.4791
[train] u: 0012300; loss: 0.0517694; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40488384 0.65274272 0.43624286 ... 0.466825   0.5154708  0.67470565]; bacc: 0.5001; average_auc:0.4793
[train] u: 0012400; loss: 0.0518592; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.50738514 0.64780995 0.33119325 ... 0.50175152 0.52686058 0.6748788 ]; bacc: 0.5000; average_auc:0.4780
[train] u: 0012500; loss: 0.0515266; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4145204  0.65077126 0.416611   ... 0.49033695 0.515545   0.67497774]; bacc: 0.5002; average_auc:0.4796
[validation] u: 0012500; loss: 0.0536250; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.55990305 0.97229917 0.57083478 ... 0.80297784 0.51004155 0.26177285]; bacc: 0.5001; validation_auc:0.4769
[train] u: 0012600; loss: 0.0579032; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40922586 0.66096676 0.36451916 ... 0.48150512 0.515545   0.67477986]; bacc: 0.5002; average_auc:0.4772
[train] u: 0012700; loss: 0.0545018; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41298647 0.67954302 0.45067914 ... 0.47552323 0.5153224  0.67485406]; bacc: 0.5002; average_auc:0.4791
[train] u: 0012800; loss: 0.0546185; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37945026 0.6637301  0.33969173 ... 0.47158973 0.5152482  0.67534877]; bacc: 0.5001; average_auc:0.4797
[train] u: 0012900; loss: 0.0501635; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35655261 0.66335478 0.35431357 ... 0.47343031 0.51591601 0.64476353]; bacc: 0.5001; average_auc:0.4823
[train] u: 0013000; loss: 0.0518522; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3592741  0.65554731 0.45228729 ... 0.48891198 0.5158047  0.68425349]; bacc: 0.5000; average_auc:0.4844
[validation] u: 0013000; loss: 0.0544321; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.6748615  0.97299169 0.4083824  ... 0.61495845 0.59383657 0.26038781]; bacc: 0.5000; validation_auc:0.4831
[train] u: 0013100; loss: 0.0615658; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3692694  0.61985482 0.39069497 ... 0.49207362 0.50330192 0.67220738]; bacc: 0.5001; average_auc:0.4837
[train] u: 0013200; loss: 0.0517445; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35691135 0.65982843 0.36628813 ... 0.48439958 0.51595311 0.67819333]; bacc: 0.5002; average_auc:0.4890
[train] u: 0013300; loss: 0.0503264; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39427002 0.66464571 0.39831515 ... 0.49942111 0.50667804 0.6736915 ]; bacc: 0.5004; average_auc:0.4886
[train] u: 0013400; loss: 0.0495110; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.397709   0.66590778 0.33414978 ... 0.49064866 0.50537954 0.66293163]; bacc: 0.5001; average_auc:0.4887
[train] u: 0013500; loss: 0.0567201; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.34414508 0.65742803 0.4428734  ... 0.4940478  0.50322772 0.66859602]; bacc: 0.5002; average_auc:0.4881
[validation] u: 0013500; loss: 0.0584714; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.11980609 0.97299169 0.38794596 ... 0.59937673 0.59695291 0.26800554]; bacc: 0.5002; validation_auc:0.4819
[train] u: 0013600; loss: 0.0514033; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40161805 0.5315021  0.37277023 ... 0.47926377 0.4994435  0.66664193]; bacc: 0.5001; average_auc:0.4856
[train] u: 0013700; loss: 0.0533414; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42765778 0.67777778 0.3568495  ... 0.50038593 0.5149514  0.67806965]; bacc: 0.5001; average_auc:0.4818
[train] u: 0013800; loss: 0.0507818; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.44679482 0.67414006 0.38768896 ... 0.50949978 0.5153966  0.69164935]; bacc: 0.5003; average_auc:0.4832
[train] u: 0013900; loss: 0.2950433; baccs: [0.5       0.5522148 0.5       ... 0.5       0.5       0.5      ]; train_aucs:[0.41856553 0.67802524 0.33010465 ... 0.47058038 0.5148772  0.68442664]; bacc: 0.5000; average_auc:0.4580
[train] u: 0014000; loss: 0.1620062; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41972835 0.67541038 0.33106955 ... 0.47059522 0.5148401  0.68442664]; bacc: 0.4999; average_auc:0.4580
[validation] u: 0014000; loss: 0.1704638; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.59799169 0.97576177 0.74835469 ... 0.47056787 0.47126039 0.25796399]; bacc: 0.4998; validation_auc:0.4567
[train] u: 0014100; loss: 0.1397394; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41871397 0.67512167 0.33111903 ... 0.470521   0.5149514  0.68459978]; bacc: 0.5002; average_auc:0.4593
[train] u: 0014200; loss: 0.1182723; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41872634 0.67512167 0.3311314  ... 0.47034288 0.5149514  0.68464925]; bacc: 0.5001; average_auc:0.4593
